catalase methaemoglobin,Gene conj production prep of pobj Chemical,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
catalase osmotic_fragility,Gene conj production conj bodies conj changes prep in pobj Disease,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
methaemoglobin osmotic_fragility,Chemical pobj of prep production conj bodies conj changes prep in pobj Disease,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
lecithin_cholesterol_acyltransferase cholesterol,Gene pobj of prep Action prep on pobj dispersions prep of pobj lecithin conj Chemical,Action of lecithin_cholesterol_acyltransferase on sonicated dispersions of lecithin and cholesterol and on lecithin-cholesterol-protein complexes.
lecithin_cholesterol_acyltransferase cholesterol,Gene pobj of prep Action prep on conj on pobj complexes compound protein compound Chemical,Action of lecithin_cholesterol_acyltransferase on sonicated dispersions of lecithin and cholesterol and on lecithin-cholesterol-protein complexes.
cholesterol cholesterol,Chemical conj lecithin pobj of prep dispersions pobj on conj on pobj complexes compound protein compound Chemical,Action of lecithin_cholesterol_acyltransferase on sonicated dispersions of lecithin and cholesterol and on lecithin-cholesterol-protein complexes.
catalase methaemoglobin,Gene conj production prep of pobj Chemical,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
catalase osmotic_fragility,Gene conj production conj bodies conj changes prep in pobj Disease,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
methaemoglobin osmotic_fragility,Chemical pobj of prep production conj bodies conj changes prep in pobj Disease,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
lecithin_cholesterol_acyltransferase cholesterol,Gene pobj of prep Action prep on pobj dispersions prep of pobj lecithin conj Chemical,Action of lecithin_cholesterol_acyltransferase on sonicated dispersions of lecithin and cholesterol and on lecithin-cholesterol-protein complexes.
lecithin_cholesterol_acyltransferase cholesterol,Gene pobj of prep Action prep on conj on pobj complexes compound protein compound Chemical,Action of lecithin_cholesterol_acyltransferase on sonicated dispersions of lecithin and cholesterol and on lecithin-cholesterol-protein complexes.
