diacetoxy_diphenyl_pyridyl_methane Chagas'_disease patients,Chemical pobj of prep use prep in pobj Species compound Disease
Haloperidol anxiety patients,Chemical prep as pobj treatment prep of pobj Disease
SCH_12041 alcoholic patients,Chemical pobj of prep trial prep with pobj Species amod Disease
diacetoxy_diphenyl_pyridyl_methane Chagas'_disease patients,Chemical pobj of prep use prep in pobj Species compound Disease
Haloperidol anxiety patients,Chemical prep as pobj treatment prep of pobj Disease
SCH_12041 alcoholic patients,Chemical pobj of prep trial prep with pobj Species amod Disease
diacetoxy_diphenyl_pyridyl_methane Chagas'_disease patients,Chemical pobj of prep use prep in pobj Species compound Disease
Haloperidol anxiety patients,Chemical prep as pobj treatment prep of pobj Disease
SCH_12041 alcoholic patients,Chemical pobj of prep trial prep with pobj Species amod Disease
diacetoxy_diphenyl_pyridyl_methane Chagas'_disease patients,Chemical pobj of prep use prep in pobj Species compound Disease
Haloperidol anxiety patients,Chemical prep as pobj treatment prep of pobj Disease
SCH_12041 alcoholic patients,Chemical pobj of prep trial prep with pobj Species amod Disease
diacetoxy_diphenyl_pyridyl_methane Chagas'_disease patients,Chemical pobj of prep use prep in pobj Species compound Disease
Haloperidol anxiety patients,Chemical prep as pobj treatment prep of pobj Disease
SCH_12041 alcoholic patients,Chemical pobj of prep trial prep with pobj Species amod Disease
diacetoxy_diphenyl_pyridyl_methane Chagas'_disease patients,Chemical pobj of prep use prep in pobj Species compound Disease
Haloperidol anxiety patients,Chemical prep as pobj treatment prep of pobj Disease
SCH_12041 alcoholic patients,Chemical pobj of prep trial prep with pobj Species amod Disease
,Chemical pobj of prep use prep in pobj Species compound Disease
,Chemical prep as pobj treatment prep of pobj Disease
,Chemical pobj of prep trial prep with pobj Species amod Disease
,Chemical pobj of prep use prep in pobj Species compound Disease
,Chemical prep as pobj treatment prep of pobj Disease
,Chemical pobj of prep trial prep with pobj Species amod Disease
diacetoxy_diphenyl_pyridyl_methane Chagas'_disease patients,Chemical pobj of prep use prep in pobj Species compound Disease
Haloperidol anxiety patients,Chemical prep as pobj treatment prep of pobj Disease
SCH_12041 alcoholic patients,Chemical pobj of prep trial prep with pobj Species amod Disease
