chronic_renal_insufficiency penicillins penicillins,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical
Streptococcal_pharyngitis cyclacillin cephalexin,Disease compound therapy appos comparison prep of pobj Chemical
Proteus cephalosporins cephalosporins,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical
chronic_renal_insufficiency penicillins penicillins,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical
Streptococcal_pharyngitis cyclacillin cephalexin,Disease compound therapy appos comparison prep of pobj Chemical
Proteus cephalosporins cephalosporins,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical
chronic_renal_insufficiency penicillins penicillins,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical
Streptococcal_pharyngitis cyclacillin cephalexin,Disease compound therapy appos comparison prep of pobj Chemical
Proteus cephalosporins cephalosporins,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical
chronic_renal_insufficiency penicillins penicillins,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical
Streptococcal_pharyngitis cyclacillin cephalexin,Disease compound therapy appos comparison prep of pobj Chemical
Proteus cephalosporins cephalosporins,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical
chronic_renal_insufficiency penicillins penicillins,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical
Streptococcal_pharyngitis cyclacillin cephalexin,Disease compound therapy appos comparison prep of pobj Chemical
Proteus cephalosporins cephalosporins,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical
chronic_renal_insufficiency penicillins penicillins,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical
Streptococcal_pharyngitis cyclacillin cephalexin,Disease compound therapy appos comparison prep of pobj Chemical
Proteus cephalosporins cephalosporins,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical
,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical
,Disease compound therapy appos comparison prep of pobj Chemical
,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical
,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical
,Disease compound therapy appos comparison prep of pobj Chemical
,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical
chronic_renal_insufficiency penicillins penicillins,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical
Streptococcal_pharyngitis cyclacillin cephalexin,Disease compound therapy appos comparison prep of pobj Chemical
Proteus cephalosporins cephalosporins,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical
