diacetoxy_diphenyl_pyridyl_methane Chagas'_disease patients,Chemical pobj of prep use prep in pobj Species compound Disease,"[On the use of diacetoxy_diphenyl_pyridyl_methane in chronic Chagas'_disease patients, with special reference to the radiological preparation of the colon]."
Haloperidol anxiety patients,Chemical prep as pobj treatment prep of pobj Disease,Haloperidol as a treatment of anxiety in psychoneurotic patients.
SCH_12041 alcoholic patients,Chemical pobj of prep trial prep with pobj Species amod Disease,A clinical trial of SCH_12041 with chronic alcoholic patients.
diacetoxy_diphenyl_pyridyl_methane Chagas'_disease patients,Chemical pobj of prep use prep in pobj Species compound Disease,"[On the use of diacetoxy_diphenyl_pyridyl_methane in chronic Chagas'_disease patients, with special reference to the radiological preparation of the colon]."
Haloperidol anxiety patients,Chemical prep as pobj treatment prep of pobj Disease,Haloperidol as a treatment of anxiety in psychoneurotic patients.
SCH_12041 alcoholic patients,Chemical pobj of prep trial prep with pobj Species amod Disease,A clinical trial of SCH_12041 with chronic alcoholic patients.
diacetoxy_diphenyl_pyridyl_methane Chagas'_disease patients,Chemical pobj of prep use prep in pobj Species compound Disease,"[On the use of diacetoxy_diphenyl_pyridyl_methane in chronic Chagas'_disease patients, with special reference to the radiological preparation of the colon]."
Haloperidol anxiety patients,Chemical prep as pobj treatment prep of pobj Disease,Haloperidol as a treatment of anxiety in psychoneurotic patients.
SCH_12041 alcoholic patients,Chemical pobj of prep trial prep with pobj Species amod Disease,A clinical trial of SCH_12041 with chronic alcoholic patients.
diacetoxy_diphenyl_pyridyl_methane Chagas'_disease patients,Chemical pobj of prep use prep in pobj Species compound Disease,"[On the use of diacetoxy_diphenyl_pyridyl_methane in chronic Chagas'_disease patients, with special reference to the radiological preparation of the colon]."
Haloperidol anxiety patients,Chemical prep as pobj treatment prep of pobj Disease,Haloperidol as a treatment of anxiety in psychoneurotic patients.
SCH_12041 alcoholic patients,Chemical pobj of prep trial prep with pobj Species amod Disease,A clinical trial of SCH_12041 with chronic alcoholic patients.
diacetoxy_diphenyl_pyridyl_methane Chagas'_disease patients,Chemical pobj of prep use prep in pobj Species compound Disease,"[On the use of diacetoxy_diphenyl_pyridyl_methane in chronic Chagas'_disease patients, with special reference to the radiological preparation of the colon]."
Haloperidol anxiety patients,Chemical prep as pobj treatment prep of pobj Disease,Haloperidol as a treatment of anxiety in psychoneurotic patients.
SCH_12041 alcoholic patients,Chemical pobj of prep trial prep with pobj Species amod Disease,A clinical trial of SCH_12041 with chronic alcoholic patients.
diacetoxy_diphenyl_pyridyl_methane Chagas'_disease patients,Chemical pobj of prep use prep in pobj Species compound Disease,"[On the use of diacetoxy_diphenyl_pyridyl_methane in chronic Chagas'_disease patients, with special reference to the radiological preparation of the colon]."
Haloperidol anxiety patients,Chemical prep as pobj treatment prep of pobj Disease,Haloperidol as a treatment of anxiety in psychoneurotic patients.
SCH_12041 alcoholic patients,Chemical pobj of prep trial prep with pobj Species amod Disease,A clinical trial of SCH_12041 with chronic alcoholic patients.
,Chemical pobj of prep use prep in pobj Species compound Disease,"[On the use of diacetoxy_diphenyl_pyridyl_methane in chronic Chagas'_disease patients, with special reference to the radiological preparation of the colon]."
,Chemical prep as pobj treatment prep of pobj Disease,Haloperidol as a treatment of anxiety in psychoneurotic patients.
,Chemical pobj of prep trial prep with pobj Species amod Disease,A clinical trial of SCH_12041 with chronic alcoholic patients.
,Chemical pobj of prep use prep in pobj Species compound Disease,"[On the use of diacetoxy_diphenyl_pyridyl_methane in chronic Chagas'_disease patients, with special reference to the radiological preparation of the colon]."
,Chemical prep as pobj treatment prep of pobj Disease,Haloperidol as a treatment of anxiety in psychoneurotic patients.
,Chemical pobj of prep trial prep with pobj Species amod Disease,A clinical trial of SCH_12041 with chronic alcoholic patients.
diacetoxy_diphenyl_pyridyl_methane Chagas'_disease patients,Chemical pobj of prep use prep in pobj Species compound Disease,"[On the use of diacetoxy_diphenyl_pyridyl_methane in chronic Chagas'_disease patients, with special reference to the radiological preparation of the colon]."
Haloperidol anxiety patients,Chemical prep as pobj treatment prep of pobj Disease,Haloperidol as a treatment of anxiety in psychoneurotic patients.
SCH_12041 alcoholic patients,Chemical pobj of prep trial prep with pobj Species amod Disease,A clinical trial of SCH_12041 with chronic alcoholic patients.
