chronic_renal_insufficiency penicillins penicillins,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical,[Effectiveness of therapy of patients with chronic_renal_insufficiency by the use of polysynthetic penicillins].
Streptococcal_pharyngitis cyclacillin cephalexin,Disease compound therapy appos comparison prep of pobj Chemical,"Streptococcal_pharyngitis therapy: comparison of cyclacillin, cephalexin, and potassium_penicillin_V."
Proteus cephalosporins cephalosporins,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical,Susceptibility of Proteus species and Pseudomonas_aeruginosa to penicillins and cephalosporins.
chronic_renal_insufficiency penicillins penicillins,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical,[Effectiveness of therapy of patients with chronic_renal_insufficiency by the use of polysynthetic penicillins].
Streptococcal_pharyngitis cyclacillin cephalexin,Disease compound therapy appos comparison prep of pobj Chemical,"Streptococcal_pharyngitis therapy: comparison of cyclacillin, cephalexin, and potassium_penicillin_V."
Proteus cephalosporins cephalosporins,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical,Susceptibility of Proteus species and Pseudomonas_aeruginosa to penicillins and cephalosporins.
chronic_renal_insufficiency penicillins penicillins,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical,[Effectiveness of therapy of patients with chronic_renal_insufficiency by the use of polysynthetic penicillins].
Streptococcal_pharyngitis cyclacillin cephalexin,Disease compound therapy appos comparison prep of pobj Chemical,"Streptococcal_pharyngitis therapy: comparison of cyclacillin, cephalexin, and potassium_penicillin_V."
Proteus cephalosporins cephalosporins,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical,Susceptibility of Proteus species and Pseudomonas_aeruginosa to penicillins and cephalosporins.
chronic_renal_insufficiency penicillins penicillins,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical,[Effectiveness of therapy of patients with chronic_renal_insufficiency by the use of polysynthetic penicillins].
Streptococcal_pharyngitis cyclacillin cephalexin,Disease compound therapy appos comparison prep of pobj Chemical,"Streptococcal_pharyngitis therapy: comparison of cyclacillin, cephalexin, and potassium_penicillin_V."
Proteus cephalosporins cephalosporins,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical,Susceptibility of Proteus species and Pseudomonas_aeruginosa to penicillins and cephalosporins.
chronic_renal_insufficiency penicillins penicillins,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical,[Effectiveness of therapy of patients with chronic_renal_insufficiency by the use of polysynthetic penicillins].
Streptococcal_pharyngitis cyclacillin cephalexin,Disease compound therapy appos comparison prep of pobj Chemical,"Streptococcal_pharyngitis therapy: comparison of cyclacillin, cephalexin, and potassium_penicillin_V."
Proteus cephalosporins cephalosporins,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical,Susceptibility of Proteus species and Pseudomonas_aeruginosa to penicillins and cephalosporins.
chronic_renal_insufficiency penicillins penicillins,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical,[Effectiveness of therapy of patients with chronic_renal_insufficiency by the use of polysynthetic penicillins].
Streptococcal_pharyngitis cyclacillin cephalexin,Disease compound therapy appos comparison prep of pobj Chemical,"Streptococcal_pharyngitis therapy: comparison of cyclacillin, cephalexin, and potassium_penicillin_V."
Proteus cephalosporins cephalosporins,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical,Susceptibility of Proteus species and Pseudomonas_aeruginosa to penicillins and cephalosporins.
,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical,[Effectiveness of therapy of patients with chronic_renal_insufficiency by the use of polysynthetic penicillins].
,Disease compound therapy appos comparison prep of pobj Chemical,"Streptococcal_pharyngitis therapy: comparison of cyclacillin, cephalexin, and potassium_penicillin_V."
,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical,Susceptibility of Proteus species and Pseudomonas_aeruginosa to penicillins and cephalosporins.
,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical,[Effectiveness of therapy of patients with chronic_renal_insufficiency by the use of polysynthetic penicillins].
,Disease compound therapy appos comparison prep of pobj Chemical,"Streptococcal_pharyngitis therapy: comparison of cyclacillin, cephalexin, and potassium_penicillin_V."
,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical,Susceptibility of Proteus species and Pseudomonas_aeruginosa to penicillins and cephalosporins.
chronic_renal_insufficiency penicillins penicillins,Disease pobj with prep patients pobj of prep therapy prep by pobj use prep of pobj Chemical,[Effectiveness of therapy of patients with chronic_renal_insufficiency by the use of polysynthetic penicillins].
Streptococcal_pharyngitis cyclacillin cephalexin,Disease compound therapy appos comparison prep of pobj Chemical,"Streptococcal_pharyngitis therapy: comparison of cyclacillin, cephalexin, and potassium_penicillin_V."
Proteus cephalosporins cephalosporins,Disease compound species pobj of prep Susceptibility prep to pobj penicillins conj Chemical,Susceptibility of Proteus species and Pseudomonas_aeruginosa to penicillins and cephalosporins.
