"['phosphorus', 'Plasmodium_gallinaceum']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['phosphorus', 'Plasmodium_gallinaceum']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['cholesterol', 'rats']","['Chemical', 'prep', 'ROOT', 'appos', 'prep', 'pobj', 'Species']"
"['Asterol_dihydrochloride', 'Trichophyton_rubrum']","['Chemical', 'prep', 'pobj', 'acl', 'agent', 'pobj', 'nmod', 'Species']"
"['carbohydrate', 'patients']","['Chemical', 'pobj', 'prep', 'pobj', 'Species']"
"['folic_acid', 'human']","['Chemical', 'pobj', 'prep', 'pobj', 'amod', 'Species']"
"['sulfhydryl', 'rat']","['Chemical', 'dobj', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['cortisone', 'guinea_pigs']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['vitamin_A', 'rats']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Species']"
"['Ascorbic_acid', 'human']","['Chemical', 'ROOT', 'prep', 'pobj', 'Species']"
"['carbohydrate', 'rats']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['creatinine', 'rats']","['Chemical', 'prep', 'pobj', 'Species']"
"['vitamin_E', 'rats']","['Chemical', 'pobj', 'Species']"
"['Thiamine', 'women']","['Chemical', 'ROOT', 'prep', 'pobj', 'Species']"
"['lycopene', 'rat']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Species']"
"['nitrogen', 'rat']","['Chemical', 'compound', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'compound', 'Species']"
"['cobalt', 'sheep']","['Chemical', 'amod', 'pobj', 'Species']"
"['calcium', 'women']","['Chemical', 'prep', 'ROOT', 'prep', 'prep', 'pobj', 'Species']"
"['lactate', 'women']","['Chemical', 'prep', 'prep', 'pobj', 'Species']"
"['gluconate', 'women']","['Chemical', 'pobj', 'prep', 'prep', 'pobj', 'Species']"
"['sulfate', 'women']","['Chemical', 'conj', 'pobj', 'prep', 'prep', 'pobj', 'Species']"
"['carbonate', 'women']","['Chemical', 'conj', 'conj', 'conj', 'pobj', 'prep', 'prep', 'pobj', 'Species']"
"['magnesium_sulfate', 'children']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['salicylate', 'rat']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['potassium', 'dogs']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['histamine', 'guinea_pigs']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['histamine', 'guinea_pigs']","['Chemical', 'conj', 'acl', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['leukotaxine', 'guinea_pigs']","['Chemical', 'conj', 'acl', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['alloxan', 'rabbit']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['vitamin_B12', 'rats']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['fructose', 'rats']","['Chemical', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['cortisone', 'mouse']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'compound', 'Species']"
"['benzpyrene', 'mouse']","['Chemical', 'pobj', 'prep', 'pobj', 'compound', 'Species']"
"['methionine', 'patients']","['Chemical', 'pobj', 'prep', 'pobj', 'Species']"
"['salicylamide', 'man']","['Chemical', 'prep', 'pobj', 'Species']"
"['polamidone', 'man']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['perchlorate', 'human']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'compound', 'amod', 'Species']"
"['cobaltous_chloride', 'rabbit']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['sugar', 'rabbit']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['creatine', 'human']","['Chemical', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'Species']"
"['Methane', 'cattle']","['Chemical', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['phosphothreonine', 'bovine']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'amod', 'Species']"
"['epinephrine', 'cats']","['Chemical', 'prep', 'pobj', 'prep', 'ROOT', 'conj', 'conj', 'prep', 'pobj', 'Species']"
"['nor_arterenol', 'cats']","['Chemical', 'conj', 'prep', 'pobj', 'Species']"
"['cortisone', 'patients']","['Chemical', 'pobj', 'prep', 'pobj', 'Species']"
"['procaine', 'children']","['Chemical', 'dobj', 'ROOT', 'prep', 'pobj', 'Species']"
"['streptomycin', 'patients']","['Chemical', 'pobj', 'Species']"
"['streptomycin', 'Mycobacterium_tuberculosis']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['carbohydrate', 'cattle']","['Chemical', 'pobj', 'prep', 'pobj', 'Species']"
"['cortisone', 'guinea_pig']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['Precipitin', 'chickens']","['Chemical', 'ROOT', 'prep', 'pobj', 'Species']"
"['cortisone', 'guinea_pigs']","['Chemical', 'pobj', 'prep', 'conj', 'pobj', 'prep', 'pobj', 'Species']"
"['bacitracin', 'dogs']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Species']"
"['Thiamine', 'women']","['Chemical', 'ROOT', 'prep', 'pobj', 'Species']"
"['pantothenic_acid', 'swine']","['Chemical', 'nsubj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['pyridoxine', 'rats']","['Chemical', 'amod', 'pobj', 'Species']"
"['Nitrogen', 'rats']","['Chemical', 'nsubj', 'prep', 'pobj', 'Species']"
"['B_vitamins', 'sheep']","['Chemical', 'prep', 'pobj', 'Species']"
"['cobalt', 'sheep']","['Chemical', 'pobj', 'Species']"
"['sodium_chloride', 'rat']","['Chemical', 'ROOT', 'prep', 'pobj', 'Species']"
"['methionine', 'swine']","['Chemical', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['vitamin_B12', 'rats']","['Chemical', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'Species']"
"['terramycin', 'turkey']","['Chemical', 'prep', 'ROOT', 'conj', 'dobj', 'prep', 'pobj', 'prep', 'pobj', 'compound', 'Species']"
"['certain_phenylarsonic_acid', 'turkey']","['Chemical', 'dobj', 'prep', 'pobj', 'prep', 'pobj', 'compound', 'Species']"
"['glucose', 'sheep']","['Chemical', 'pobj', 'prep', 'pobj', 'Species']"
"['Histamine', 'dog']","['Chemical', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['adrenaline', 'rabbit']","['Chemical', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['adrenaline', 'guinea_pig']","['Chemical', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'Species']"
"['noradrenaline', 'rabbit']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['noradrenaline', 'guinea_pig']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'Species']"
"['adrenaline', 'rabbit']","['Chemical', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['noradrenaline', 'rabbit']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['cortisone', 'guinea_pig']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['adrenaline', 'human']","['Chemical', 'pobj', 'prep', 'pobj', 'amod', 'Species']"
"['noradrenaline', 'human']","['Chemical', 'nmod', 'pobj', 'prep', 'pobj', 'amod', 'Species']"
"['Acetylcholine', 'Mytilus_edulis']","['Chemical', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['eserine', 'rabbit']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'poss', 'Species']"
"['Antihistamine', 'guinea_pig']","['Chemical', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['banthine', 'human']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'amod', 'Species']"
"['corticosteroids', 'women']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['succinic_acid', 'patients']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['trichloroethylene', 'man']","['Chemical', 'prep', 'pobj', 'Species']"
"['carbon_dioxide', 'potato']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'compound', 'Species']"
"['lactic_acid', 'potato']","['Chemical', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'compound', 'Species']"
"['stilbamidine', 'mice']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['cholesterol', 'woman']","['Chemical', 'ROOT', 'prep', 'pobj', 'Species']"
"['ethyl_alcohol', 'mice']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Species']"
"['alcohol', 'mice']","['Chemical', 'prep', 'conj', 'conj', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'Species']"
"['testosterone_propionate', 'rabbit']","['Chemical', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['vitamin_D2', 'rabbit']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['vitamin_E', 'rabbits']","['Chemical', 'conj', 'amod', 'pobj', 'Species']"
"['khellin', 'dogs']","['Chemical', 'conj', 'conj', 'prep', 'pobj', 'Species']"
"['aminophylline', 'dogs']","['Chemical', 'conj', 'prep', 'pobj', 'Species']"
"['papaverine', 'dogs']","['Chemical', 'prep', 'pobj', 'Species']"
"['procaine', 'man']","['Chemical', 'pobj', 'prep', 'pobj', 'Species']"
"['lactose', 'Escherichia_coli']","['Chemical', 'conj', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['glucose', 'Escherichia_coli']","['Chemical', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['galactose', 'Escherichia_coli']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['Acetate', 'dog']","['Chemical', 'ROOT', 'prep', 'pobj', 'Species']"
"['arginine', 'dog']","['Chemical', 'pobj', 'prep', 'pobj', 'Species']"
"['maltose', 'yeasts']","['Chemical', 'prep', 'pobj', 'Species']"
"['sulfonamide', 'man']","['Chemical', 'xcomp', 'prep', 'pobj', 'Species']"
"['streptomycin', 'rabbits']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['albomycin', 'infants']","['Chemical', 'prep', 'pobj', 'Species']"
"['thiamine', 'human']","['Chemical', 'nmod', 'pobj', 'prep', 'pobj', 'amod', 'Species']"
"['Thiamine', 'human']","['Chemical', 'prep', 'pobj', 'amod', 'Species']"
"['sugar', 'human']","['Chemical', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'amod', 'Species']"
"['sugar', 'human']","['Chemical', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'conj', 'amod', 'Species']"
"['hexosamine', 'human']","['Chemical', 'amod', 'pobj', 'prep', 'pobj', 'conj', 'amod', 'Species']"
"['hexosamine', 'human']","['Chemical', 'amod', 'pobj', 'prep', 'pobj', 'conj', 'conj', 'amod', 'Species']"
"['carbohydrates', 'human']","['Chemical', 'prep', 'pobj', 'conj', 'amod', 'Species']"
"['carbohydrates', 'human']","['Chemical', 'prep', 'pobj', 'conj', 'conj', 'amod', 'Species']"
