"['infants', 'children']","['Species', 'conj', 'Species']"
"['mice', 'rats']","['Species', 'conj', 'Species']"
"['Erysipelothrix_rhusiopathiae', 'pigs']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['cattle', 'swine']","['Species', 'prep', 'conj', 'pobj', 'Species']"
"['equine', 'guinea_pigs']","['Species', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['guinea_pigs', 'equine']","['Species', 'acl', 'prep', 'pobj', 'amod', 'Species']"
"['equine', 'guinea_pigs']","['Species', 'prep', 'ROOT', 'appos', 'prep', 'pobj', 'Species']"
"['children', 'infants']","['Species', 'conj', 'Species']"
"['patients', 'children']","['Species', 'acl', 'prep', 'pobj', 'poss', 'Species']"
"['Bacillus_pyocyaneus', 'children']","['Species', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['mice', 'Trichophyton_rubrum']","['Species', 'prep', 'pobj', 'Species']"
"['house_mouse', 'Mus_musculus']","['Species', 'appos', 'Species']"
"['infant', 'child']","['Species', 'conj', 'compound', 'Species']"
"['rabbit', 'guinea_pig']","['Species', 'conj', 'Species']"
"['dog', 'dog']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['Salmonella_dublin', 'cattle']","['Species', 'ROOT', 'prep', 'pobj', 'Species']"
"['Salmonella_dublin', 'cattle']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'Species']"
"['guinea_pigs', 'human']","['Species', 'prep', 'pobj', 'prep', 'nsubj', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'amod', 'Species']"
"['human', 'human']","['Species', 'conj', 'conj', 'amod', 'Species']"
