"['cholesterol', 'hyperthyroid']","['Chemical', 'prep', 'ROOT', 'appos', 'prep', 'pobj', 'amod', 'conj', 'Disease']",Rate of cholesterol synthesis in hypo- and hyperthyroid rats.
"['cholesterol', 'hyperthyroid']","['Chemical', 'prep', 'ROOT', 'appos', 'prep', 'pobj', 'amod', 'conj', 'Disease']",Rate of cholesterol synthesis in hypo- and hyperthyroid rats.
"['Symposium', 'hypersplenism']","['Chemical', 'prep', 'pobj', 'Disease']",Symposium on hypersplenism.
"['acetate', 'ophthalmia']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'compound', 'Disease']",SILVER acetate as a prophylactic for ophthalmia neonatorum.
"['Asterol_dihydrochloride', 'dermatophytosis']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",Asterol_dihydrochloride in the treatment of dermatophytosis caused by Trichophyton_rubrum (purpureum).
"['Asterol_dihydrochloride', 'dermatophytosis']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",Asterol_dihydrochloride in the treatment of dermatophytosis caused by Trichophyton_rubrum (purpureum).
"['Cortisone', 'rheumatic_fever']","['Chemical', 'prep', 'pobj', 'Disease']",Cortisone in acute rheumatic_fever with carditis.
"['Cortisone', 'carditis']","['Chemical', 'prep', 'pobj', 'Disease']",Cortisone in acute rheumatic_fever with carditis.
"['Cortisone', 'carditis']","['Chemical', 'prep', 'pobj', 'Disease']",Cortisone in acute rheumatic_fever with carditis.
"['carbohydrate', 'psychiatric']","['Chemical', 'pobj', 'prep', 'pobj', 'amod', 'Disease']","The diagnostic significance of certain tests of carbohydrate metabolism in psychiatric patients and the question of ""oneirophrenia""."
"['carbohydrate', 'psychiatric']","['Chemical', 'pobj', 'prep', 'pobj', 'amod', 'Disease']","The diagnostic significance of certain tests of carbohydrate metabolism in psychiatric patients and the question of ""oneirophrenia""."
"['cortisone', 'rheumatoid_arthritis']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",The use of massive-dose cortisone in the treatment of rheumatoid_arthritis.
"['11_ketoprogesterone', 'rheumatoid_arthritis']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Disease']",Clinical trial of 11_ketoprogesterone in rheumatoid_arthritis.
"['cortisone', 'rheumatoid_arthritis']","['Chemical', 'conj', 'prep', 'pobj', 'Disease']",Observations on the use of cortisone and corticotropin in rheumatoid_arthritis.
"['hydrocortisone', 'arthritis']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",Intra-articular hydrocortisone in treatment of arthritis; present status.
"['Corticotropin', 'chronic_arthritis']","['Chemical', 'conj', 'prep', 'pobj', 'Disease']","Corticotropin, protamine supplement and plasma fibrinogen levels in chronic_arthritis."
"['protamine', 'chronic_arthritis']","['Chemical', 'conj', 'prep', 'pobj', 'Disease']","Corticotropin, protamine supplement and plasma fibrinogen levels in chronic_arthritis."
"['Corticotropin', 'chronic_arthritis']","['Chemical', 'conj', 'prep', 'pobj', 'Disease']","Corticotropin, protamine supplement and plasma fibrinogen levels in chronic_arthritis."
"['protamine', 'chronic_arthritis']","['Chemical', 'conj', 'prep', 'pobj', 'Disease']","Corticotropin, protamine supplement and plasma fibrinogen levels in chronic_arthritis."
"['Milestones', 'diabetes_mellitus']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",Milestones in our knowledge of diabetes_mellitus.
"['folic_acid', 'neoplasia']","['Chemical', 'pobj', 'prep', 'pobj', 'Disease']",Some theoretical and practical aspects of the use of folic_acid antagonists in human neoplasia.
"['folic_acid', 'neoplasia']","['Chemical', 'pobj', 'prep', 'pobj', 'Disease']",Some theoretical and practical aspects of the use of folic_acid antagonists in human neoplasia.
"['sulfhydryl', 'Murphy_lymphosarcoma']","['Chemical', 'dobj', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",Blood plasma sulfhydryl levels during growth and regression of the Murphy_lymphosarcoma of the rat.
"['sulfhydryl', 'Murphy_lymphosarcoma']","['Chemical', 'dobj', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",Blood plasma sulfhydryl levels during growth and regression of the Murphy_lymphosarcoma of the rat.
"['Estrogen', 'tumors']","['Chemical', 'amod', 'ROOT', 'Disease']","Estrogen-induced tumors of the kidney. II. Effect of dose, administration, type of estrogen, and age on the induction of renal tumors in intact male golden hamsters."
"['Trilene', 'analgesia']","['Chemical', 'prep', 'pobj', 'Disease']",Trilene in analgesia and anesthesia in general practice.
"['magnesium_sulfate', 'glomerulonephritis']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",The effects of magnesium_sulfate on renal function in children with acute glomerulonephritis.
"['magnesium_sulfate', 'glomerulonephritis']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",The effects of magnesium_sulfate on renal function in children with acute glomerulonephritis.
"['potassium', 'intestinal_paralysis']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",Loss of cellular potassium as a cause of intestinal_paralysis in dogs.
"['potassium', 'intestinal_paralysis']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",Loss of cellular potassium as a cause of intestinal_paralysis in dogs.
"['Diparcol', 'Parkinsonism']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",Diparcol in the treatment of Parkinsonism.
"['Alcohol_novocain', 'pain']","['Chemical', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",[Alcohol_novocain block as a method of therapy of pain and neuromuscular hypertension].
"['Alcohol_novocain', 'hypertension']","['Chemical', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'Disease']",[Alcohol_novocain block as a method of therapy of pain and neuromuscular hypertension].
"['Alcohol_novocain', 'hypertension']","['Chemical', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'Disease']",[Alcohol_novocain block as a method of therapy of pain and neuromuscular hypertension].
"['methionine', 'hypertensive']","['Chemical', 'pobj', 'prep', 'pobj', 'compound', 'Disease']",[Behavior of the eosinophils after methionine applications in hypertensive patients].
"['methionine', 'hypertensive']","['Chemical', 'pobj', 'prep', 'pobj', 'compound', 'Disease']",[Behavior of the eosinophils after methionine applications in hypertensive patients].
"['Dapsone', 'leprosy']","['Chemical', 'ROOT', 'prep', 'pobj', 'Disease']",Dapsone treatment of leprosy.
"['thiosemicarbazones', 'renal_tuberculosis']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",[Prevention of local complications in nephrectomy for tuberculosis; thiosemicarbazones in the treatment of renal_tuberculosis].
"['vitamin_B12', 'pernicious_anemia']","['Chemical', 'nsubj', 'ROOT', 'prep', 'pobj', 'Disease']",[Dosage of liver extracts and concentrated vitamin_B12 preparations in pernicious_anemia].
"['vitamin_B12', 'pernicious_anemia']","['Chemical', 'nsubj', 'ROOT', 'prep', 'pobj', 'Disease']",[Dosage of liver extracts and concentrated vitamin_B12 preparations in pernicious_anemia].
"['acetylcholine', 'stomach_and_duodenal_diverticula']","['Chemical', 'nsubj', 'ROOT', 'dobj', 'Disease']","[Massive acetylcholine therapy of gastroptoses, resected stomach_and_duodenal_diverticula]."
"['Cobalt', 'hypochromic_anemia']","['Chemical', 'ROOT', 'prep', 'pobj', 'Disease']",[Cobalt therapy of hypochromic_anemia in tuberculosis].
"['Cobalt', 'tuberculosis']","['Chemical', 'ROOT', 'prep', 'pobj', 'Disease']",[Cobalt therapy of hypochromic_anemia in tuberculosis].
"['Cobalt', 'tuberculosis']","['Chemical', 'ROOT', 'prep', 'pobj', 'Disease']",[Cobalt therapy of hypochromic_anemia in tuberculosis].
"['molybdenum', 'virus_diseases']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'acl', 'prep', 'pobj', 'Disease']",[Problem of the action of molybdenum on protein metabolism in plants showing certain analogy with virus_diseases].
"['adrenalin', 'acromegaly']","['Chemical', 'prep', 'pobj', 'prep', 'ROOT', 'conj', 'prep', 'conj', 'pobj', 'prep', 'pobj', 'Disease']",Effect of insulin on urinary excretion of adrenalin and noradrenalin; studies in ten healthy subjects and in six cases of acromegaly.
"['noradrenalin', 'acromegaly']","['Chemical', 'pobj', 'prep', 'pobj', 'prep', 'ROOT', 'conj', 'prep', 'conj', 'pobj', 'prep', 'pobj', 'Disease']",Effect of insulin on urinary excretion of adrenalin and noradrenalin; studies in ten healthy subjects and in six cases of acromegaly.
"['Pendiomide', 'peripheral_vascular_diseases']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",[Pendiomide in the therapy of peripheral_vascular_diseases].
"['hydrocortisone', 'rheumatic_diseases']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Disease']",Intra-articular use of hydrocortisone in rheumatic_diseases.
"['Rh', 'acute_renal_failure']","['Chemical', 'nsubj', 'ROOT', 'agent', 'pobj', 'Disease']",Rh in-compatibility accompanied by acute_renal_failure.
"['Zinc', 'diabetes']","['Chemical', 'ROOT', 'prep', 'pobj', 'Disease']",[Zinc metabolism in alloxan diabetes].
"['calcium', 'calcification']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Disease']",The role of calcium in soft tissue calcification.
"['Sulfur', 'bronchial_asthma']","['Chemical', 'ROOT', 'prep', 'pobj', 'Disease']",[Sulfur therapy of bronchial_asthma].
"['Tridione', 'epilepsy']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Disease']",[Tridione in therapy of epilepsy].
"['vitamin_K1', 'hypoprothrombinemia']","['Chemical', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'Disease']",The effect of intravenous injection of emulsified vitamin_K1 on the hypoprothrombinemia induced by tromexan.
"['calcium', 'atopic_eczema']","['Chemical', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'Disease']",The use of calcium ointment in atopic_eczema (generalized neurodermatitis); preliminary report.
"['calcium', 'neurodermatitis']","['Chemical', 'pobj', 'prep', 'ROOT', 'appos', 'Disease']",The use of calcium ointment in atopic_eczema (generalized neurodermatitis); preliminary report.
