"['Corticotropin', 'protamine']","['Chemical', 'conj', 'compound', 'Chemical']"
"['Corticotropin', 'protamine']","['Chemical', 'conj', 'compound', 'Chemical']"
"['Corticotropin', 'protamine']","['Chemical', 'conj', 'compound', 'Chemical']"
"['methylcholanthrene', 'dibenzanthracene']","['Chemical', 'conj', 'Chemical']"
"['methylcholanthrene', 'dibenzanthracene']","['Chemical', 'conj', 'Chemical']"
"['methylcholanthrene', 'dibenzanthracene']","['Chemical', 'conj', 'Chemical']"
"['ascorbic_acid', 'thiamine']","['Chemical', 'conj', 'Chemical']"
"['lysine', 'methionine']","['Chemical', 'conj', 'Chemical']"
"['creatinine', 'vitamin_E']","['Chemical', 'prep', 'pobj', 'nmod', 'Chemical']"
"['creatinine', 'vitamin_E']","['Chemical', 'prep', 'pobj', 'nmod', 'Chemical']"
"['vitamin_B12', 'choline']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['vitamin_B12', 'choline']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['lycopene', 'carotene']","['Chemical', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['lycopene', 'carotene']","['Chemical', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['lycopene', 'carotene']","['Chemical', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['cobalt', 'vitamin_B12']","['Chemical', 'amod', 'pobj', 'prep', 'ROOT', 'relcl', 'dobj', 'Chemical']"
"['cobalt', 'vitamin_B12']","['Chemical', 'amod', 'pobj', 'prep', 'ROOT', 'relcl', 'dobj', 'Chemical']"
"['calcium', 'lactate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['calcium', 'gluconate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'Chemical']"
"['calcium', 'sulfate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'conj', 'Chemical']"
"['calcium', 'carbonate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'conj', 'conj', 'amod', 'Chemical']"
"['lactate', 'gluconate']","['Chemical', 'conj', 'Chemical']"
"['lactate', 'sulfate']","['Chemical', 'conj', 'conj', 'Chemical']"
"['lactate', 'carbonate']","['Chemical', 'conj', 'conj', 'conj', 'amod', 'Chemical']"
"['gluconate', 'sulfate']","['Chemical', 'conj', 'Chemical']"
"['gluconate', 'carbonate']","['Chemical', 'conj', 'conj', 'amod', 'Chemical']"
"['sulfate', 'carbonate']","['Chemical', 'conj', 'amod', 'Chemical']"
"['calcium', 'lactate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['calcium', 'gluconate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'Chemical']"
"['calcium', 'sulfate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'conj', 'Chemical']"
"['calcium', 'carbonate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'conj', 'conj', 'amod', 'Chemical']"
