"['Shigella_sonnei', 'phenol']","['Species', 'ROOT', 'agent', 'pcomp', 'dobj', 'amod', 'npadvmod', 'Chemical']"
"['duck', 'sodium_pyruvate']","['Species', 'pobj', 'prep', 'pobj', 'acl', 'advcl', 'conj', 'Chemical']"
"['guinea_pigs', 'methylcholanthrene']","['Species', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['guinea_pigs', 'dibenzanthracene']","['Species', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'Chemical']"
"['rat', 'carotene']","['Species', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['sheep', 'vitamin_B12']","['Species', 'prep', 'ROOT', 'relcl', 'dobj', 'Chemical']"
"['rats', 'niacin']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'nmod', 'amod', 'Chemical']"
"['rats', 'tryptophan']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'nmod', 'Chemical']"
"['Mycobacterium_tuberculosis', 'isonicotinic_acid_hydrazide']","['Species', 'prep', 'ROOT', 'acl', 'Chemical']"
"['infant', 'Br']","['Species', 'pobj', 'prep', 'ROOT', 'appos', 'Chemical']"
"['Mycobacterium_tuberculosis', 'streptomycin']","['Species', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'ROOT', 'relcl', 'Chemical']"
"['women', 'paraoxypropiophenone']","['Species', 'acl', 'prep', 'pobj', 'Chemical']"
"['rabbit', 'iodine']","['Species', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['man', 'streptomycin']","['Species', 'prep', 'ROOT', 'advcl', 'agent', 'pobj', 'Chemical']"
"['women', 'estrogens']","['Species', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['guinea_pigs', 'stilbestrol']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'nsubj', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['rats', 'lactose']","['Species', 'prep', 'nsubj', 'ROOT', 'dobj', 'amod', 'Chemical']"
"['rats', 'L__and_DL_lysine']","['Species', 'prep', 'nsubj', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['rats', 'arginine']","['Species', 'prep', 'nsubj', 'ROOT', 'conj', 'prep', 'pobj', 'Chemical']"
"['sheep', 'vitamin_B12']","['Species', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['rats', 'ascorbic_acid']","['Species', 'prep', 'pobj', 'compound', 'Chemical']"
"['patient', 'chloramphenicol']","['Species', 'prep', 'npadvmod', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['rats', 'cortisone_acetate']","['Species', 'prep', 'pobj', 'prep', 'nsubj', 'ROOT', 'Chemical']"
"['patients', 'nitrogen']","['Species', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'compound', 'Chemical']"
"['guinea_pig', 'cortisone']","['Species', 'acl', 'prep', 'pobj', 'Chemical']"
"['guinea_pig', 'streptomycin']","['Species', 'acl', 'prep', 'pobj', 'conj', 'Chemical']"
"['guinea_pig', 'cortisone']","['Species', 'acl', 'prep', 'pobj', 'conj', 'conj', 'amod', 'Chemical']"
"['guinea_pig', 'streptomycin']","['Species', 'acl', 'prep', 'pobj', 'conj', 'conj', 'Chemical']"
"['tobacco', 'alcohol']","['Species', 'conj', 'Chemical']"
"['human', 'thiamine']","['Species', 'pobj', 'prep', 'ROOT', 'prep', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pcomp', 'dobj', 'Chemical']"
"['human', 'acetic_acid']","['Species', 'conj', 'pobj', 'prep', 'conj', 'pobj', 'amod', 'advmod', 'Chemical']"
"['human', 'acetic_acid']","['Species', 'conj', 'conj', 'pobj', 'prep', 'conj', 'pobj', 'amod', 'advmod', 'Chemical']"
