"['patients', 'tuberculous_meningitis']","['Species', 'prep', 'ROOT', 'prep', 'pobj', 'Disease']"
"['human', 'neoplasia']","['Species', 'pobj', 'Disease']"
"['rats', 'tumor']","['Species', 'prep', 'pobj', 'compound', 'Disease']"
"['children', 'glomerulonephritis']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'Disease']"
"['children', 'cerebral_palsy']","['Species', 'prep', 'pobj', 'Disease']"
"['men', 'tetanus']","['Species', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'compound', 'Disease']"
"['mumps_virus', 'meningoencephalitis']","['Species', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Disease']"
"['Pneumocystis_Carinii', 'interstitial_pneumonia']","['Species', 'intj', 'dobj', 'Disease']"
"['children', 'tuberculosis']","['Species', 'prep', 'ROOT', 'prep', 'pobj', 'Disease']"
"['patients', 'thoracic_injuries']","['Species', 'prep', 'ROOT', 'prep', 'pobj', 'Disease']"
"['Bovine', 'tuberculosis']","['Species', 'ROOT', 'Disease']"
"['cotton', 'Byssinosis']","['Species', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Disease']"
"['Erysipelothrix_rhusiopathiae', 'allergic']","['Species', 'prep', 'dep', 'ROOT', 'appos', 'amod', 'Disease']"
"['rats', 'hypertension']","['Species', 'prep', 'pobj', 'prep', 'ROOT', 'conj', 'Disease']"
"['rats', 'perinephritis']","['Species', 'prep', 'pobj', 'prep', 'ROOT', 'conj', 'acl', 'agent', 'pobj', 'Disease']"
"['infant', 'toxicosis']","['Species', 'ROOT', 'conj', 'Disease']"
"['mouse', 'tumours']","['Species', 'pobj', 'Disease']"
"['persons', 'mental_disorders']","['Species', 'prep', 'pobj', 'Disease']"
"['patient', 'poliomyelitis']","['Species', 'acl', 'agent', 'pobj', 'Disease']"
"['patients', 'asthma']","['Species', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'Disease']"
"['patients', 'rheumatoid_arthritis']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'Disease']"
"['infants', 'diabetic']","['Species', 'prep', 'pobj', 'amod', 'Disease']"
"['infant', 'toxicosis']","['Species', 'pobj', 'Disease']"
"['patients', 'tuberculous_meningitis']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'Disease']"
"['cattle', 'liver_disease']","['Species', 'acl', 'prep', 'pobj', 'Disease']"
"['human', 'poliomyelitis']","['Species', 'pobj', 'Disease']"
"['human', 'infection']","['Species', 'pobj', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'Disease']"
"['mice', 'tetanus']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'ROOT', 'acl', 'Disease']"
"['patients', 'congestive_heart_failure']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'Disease']"
"['Human', 'auditory_hallucinations']","['Species', 'ROOT', 'appos', 'prep', 'pobj', 'prep', 'pobj', 'Disease']"
"['child', 'hyperplasia']","['Species', 'prep', 'pobj', 'Disease']"
"['guinea_pig', 'total_cerebral_anoxia']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'Disease']"
"['patients', 'renal_lithiasis']","['Species', 'prep', 'ROOT', 'prep', 'pobj', 'Disease']"
"['children', 'tuberculosis']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'Disease']"
"['patients', 'tuberculous_meningitis']","['Species', 'prep', 'ROOT', 'prep', 'pobj', 'Disease']"
"['human', 'cancer']","['Species', 'pobj', 'Disease']"
"['Corns', 'callosities']","['Species', 'conj', 'Disease']"
"['patient', 'typhoid_fever']","['Species', 'prep', 'pobj', 'Disease']"
"['children', 'allergic']","['Species', 'prep', 'pobj', 'acl', 'prep', 'pobj', 'amod', 'Disease']"
"['persons', 'chronic_disease']","['Species', 'prep', 'pobj', 'Disease']"
"['infant', 'toxicosis']","['Species', 'pobj', 'Disease']"
"['patients', 'rheumatoid_arthritis']","['Species', 'prep', 'pobj', 'Disease']"
"['rabbits', 'anoxia']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'nsubj', 'ROOT', 'xcomp', 'Disease']"
"['tobacco', 'scotoma']","['Species', 'prep', 'nsubj', 'intj', 'prep', 'pobj', 'Disease']"
"['tobacco', 'anoxia']","['Species', 'prep', 'nsubj', 'appos', 'prep', 'pobj', 'prep', 'pobj', 'Disease']"
"['guinea_pigs', 'acute_myeloblastic_leukemia']","['Species', 'prep', 'pobj', 'prep', 'nsubj', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Disease']"
"['human', 'acute_myeloblastic_leukemia']","['Species', 'pobj', 'Disease']"
"['guinea_pigs', 'acute_myeloblastic_leukemia']","['Species', 'prep', 'pobj', 'prep', 'nsubj', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Disease']"
"['human', 'metastasis']","['Species', 'conj', 'pobj', 'prep', 'conj', 'pobj', 'prep', 'pobj', 'conj', 'Disease']"
"['human', 'gastric_cancer']","['Species', 'conj', 'pobj', 'prep', 'conj', 'pobj', 'prep', 'pobj', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Disease']"
"['human', 'metastasis']","['Species', 'conj', 'conj', 'pobj', 'prep', 'conj', 'pobj', 'prep', 'pobj', 'conj', 'Disease']"
"['human', 'gastric_cancer']","['Species', 'conj', 'conj', 'pobj', 'prep', 'conj', 'pobj', 'prep', 'pobj', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Disease']"
