"['tumor', 'arsenic']","['Disease', 'amod', 'pobj', 'prep', 'pobj', 'amod', 'Chemical']",Action of BAL on the tumor-damaging potency of certain trivalent arsenic compounds.
"['pulmonary_tumors', 'methylcholanthrene']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']",Induction of pulmonary_tumors in guinea_pigs by intravenous injection of methylcholanthrene and dibenzanthracene.
"['pulmonary_tumors', 'dibenzanthracene']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'Chemical']",Induction of pulmonary_tumors in guinea_pigs by intravenous injection of methylcholanthrene and dibenzanthracene.
"['pulmonary_tumors', 'methylcholanthrene']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']",Induction of pulmonary_tumors in guinea_pigs by intravenous injection of methylcholanthrene and dibenzanthracene.
"['pulmonary_tumors', 'dibenzanthracene']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'Chemical']",Induction of pulmonary_tumors in guinea_pigs by intravenous injection of methylcholanthrene and dibenzanthracene.
"['congenital_abnormalities', 'pteroylglutamic_acid']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'amod', 'Chemical']",Production of multiple congenital_abnormalities in young by maternal pteroylglutamic_acid deficiency during gestation.
"['corn_and_mexican_tortilla', 'niacin']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'nmod', 'amod', 'Chemical']",Effect of untreated corn_and_mexican_tortilla upon the growth of rats on a niacin-tryptophan deficient diet.
"['corn_and_mexican_tortilla', 'tryptophan']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'nmod', 'Chemical']",Effect of untreated corn_and_mexican_tortilla upon the growth of rats on a niacin-tryptophan deficient diet.
"['corn_and_mexican_tortilla', 'niacin']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'nmod', 'amod', 'Chemical']",Effect of untreated corn_and_mexican_tortilla upon the growth of rats on a niacin-tryptophan deficient diet.
"['corn_and_mexican_tortilla', 'tryptophan']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'nmod', 'Chemical']",Effect of untreated corn_and_mexican_tortilla upon the growth of rats on a niacin-tryptophan deficient diet.
"['corn_and_mexican_tortilla', 'niacin']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'nmod', 'amod', 'Chemical']",Effect of untreated corn_and_mexican_tortilla upon the growth of rats on a niacin-tryptophan deficient diet.
"['corn_and_mexican_tortilla', 'tryptophan']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'nmod', 'Chemical']",Effect of untreated corn_and_mexican_tortilla upon the growth of rats on a niacin-tryptophan deficient diet.
"['toxicity', 'cyclohexylethylamine']","['Disease', 'ROOT', 'prep', 'pobj', 'compound', 'Chemical']",The vasopressor action and toxicity of cyclohexylethylamine derivatives.
"['prostatic_carcinoma', 'cortisone']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']",The treatment of late relapse in prostatic_carcinoma by cortisone.
"['sleep_disorders', '1_methyl_5,_5_diethyl_barbituric_acid']","['Disease', 'prep', 'pobj', 'Chemical']","[Therapy of sleep_disorders with 1_methyl_5,_5_diethyl_barbituric_acid]."
"['tuberculosis', 'thiosemicarbazones']","['Disease', 'prep', 'pobj', 'prep', 'intj', 'punct', 'ROOT', 'Chemical']",[Prevention of local complications in nephrectomy for tuberculosis; thiosemicarbazones in the treatment of renal_tuberculosis].
"['tuberculosis', 'thiosemicarbazones']","['Disease', 'prep', 'pobj', 'prep', 'intj', 'punct', 'ROOT', 'Chemical']",[Prevention of local complications in nephrectomy for tuberculosis; thiosemicarbazones in the treatment of renal_tuberculosis].
"['hypertension', 'hexamethonium_bromide']","['Disease', 'prep', 'pobj', 'Chemical']",Treatment of hypertension with hexamethonium_bromide.
"['hypertension', 'hexamethonium_bromide']","['Disease', 'prep', 'pobj', 'Chemical']",The management of hypertension with hexamethonium_bromide.
"['tuberculous_meningitis', 'streptomycin']","['Disease', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']",RESULTS of treatment of tuberculous_meningitis with streptomycin.
"['Atypical_pneumonia', 'aureomycin']","['Disease', 'ROOT', 'conj', 'Chemical']",[Atypical_pneumonia; etiology and aureomycin therapy].
"['atopic_dermatitis', 'cortisone']","['Disease', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']",[Therapy of the late exudative eczematoid (atopic_dermatitis) with cortisone and ACTH].
"['atopic_dermatitis', 'cortisone']","['Disease', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']",[Therapy of the late exudative eczematoid (atopic_dermatitis) with cortisone and ACTH].
"['rheumatic_diseases', 'irgapyrin']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']",[Therapy of acute rheumatic_diseases in childhood with irgapyrin].
"['hyperfunction', 'paraoxypropriophenon']","['Disease', 'prep', 'ROOT', 'appos', 'conj', 'prep', 'pobj', 'Chemical']","[The syndromes of hyperfunction of the anterior pituitary gland, overproduction of stimulinia, its therapy with paraoxypropriophenon; H 365]."
"['hyperthyroidism', 'iodine']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']",[Determination of the fright hyperthyroidism of the wild rabbit by radioactive iodine].
"['hyperthyroidism', 'iodine']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']",[Determination of the fright hyperthyroidism of the wild rabbit by radioactive iodine].
"['multiple_sclerosis', 'tetraethylammonium_chloride']","['Disease', 'prep', 'pobj', 'Chemical']",Modifications of signs in multiple_sclerosis with tetraethylammonium_chloride.
"['fever', 'procaine_amide_hydrochloride']","['Disease', 'ROOT', 'amod', 'pobj', 'compound', 'Chemical']",Chills and fever due to procaine_amide_hydrochloride therapy.
"['hypoprothrombinemia', 'tromexan']","['Disease', 'acl', 'agent', 'pobj', 'Chemical']",The effect of intravenous injection of emulsified vitamin_K1 on the hypoprothrombinemia induced by tromexan.
"['Herpes_zoster', 'cortisone']","['Disease', 'prep', 'pobj', 'compound', 'Chemical']",Herpes_zoster during cortisone therapy in three patients with rheumatoid_arthritis.
"['Herpes_zoster', 'cortisone']","['Disease', 'prep', 'pobj', 'compound', 'Chemical']",Herpes_zoster during cortisone therapy in three patients with rheumatoid_arthritis.
"['Herpes_zoster', 'cortisone']","['Disease', 'prep', 'pobj', 'compound', 'Chemical']",Herpes_zoster during cortisone therapy in three patients with rheumatoid_arthritis.
"['osteoarthritis', 'priscoline']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']",Palliative treatment of osteoarthritis (degenerative_joint_disease) by the intra-arterial injection of priscoline.
"['degenerative_joint_disease', 'priscoline']","['Disease', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']",Palliative treatment of osteoarthritis (degenerative_joint_disease) by the intra-arterial injection of priscoline.
"['degenerative_joint_disease', 'priscoline']","['Disease', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']",Palliative treatment of osteoarthritis (degenerative_joint_disease) by the intra-arterial injection of priscoline.
"['Secondary_thrombocytopenic_purpura', 'DDT']","['Disease', 'prep', 'dobj', 'compound', 'Chemical']",Secondary_thrombocytopenic_purpura following DDT exposure.
"['Acrodynia', 'mercury']","['Disease', 'appos', 'acl', 'agent', 'pobj', 'compound', 'Chemical']","[Acrodynia, pink_disease presumably caused by occult mercury allergy]."
"['pink_disease', 'mercury']","['Disease', 'acl', 'agent', 'pobj', 'compound', 'Chemical']","[Acrodynia, pink_disease presumably caused by occult mercury allergy]."
"['Acrodynia', 'mercury']","['Disease', 'appos', 'acl', 'agent', 'pobj', 'compound', 'Chemical']","[Acrodynia, pink_disease presumably caused by occult mercury allergy]."
