"['Gastric_carcinoma', 'dog']","['Disease', 'prep', 'pobj', 'Species']",Gastric_carcinoma in the dog.
"['liver_disease', 'cattle']","['Disease', 'prep', 'pobj', 'Species']",Dye excretion tests in the detection of liver_disease in cattle.
"['hyperthyroid', 'rats']","['Disease', 'amod', 'pobj', 'Species']",Rate of cholesterol synthesis in hypo- and hyperthyroid rats.
"['Teschen_disease', 'swine']","['Disease', 'prep', 'ROOT', 'appos', 'prep', 'pobj', 'Species']",Experiments with Teschen_disease (virus_encephalomyelitis of swine).
"['virus_encephalomyelitis', 'swine']","['Disease', 'prep', 'pobj', 'Species']",Experiments with Teschen_disease (virus_encephalomyelitis of swine).
"['Toxicity', 'mouse']","['Disease', 'prep', 'pobj', 'compound', 'Species']",Toxicity of NDV for mouse lungs.
"['dermatophytosis', 'Trichophyton_rubrum']","['Disease', 'prep', 'pobj', 'acl', 'agent', 'pobj', 'nmod', 'Species']",Asterol_dihydrochloride in the treatment of dermatophytosis caused by Trichophyton_rubrum (purpureum).
"['Migraine', 'patients']","['Disease', 'ROOT', 'Species']",Migraine patients: a discussion of some test results.
"['psychiatric', 'patients']","['Disease', 'pobj', 'Species']","The diagnostic significance of certain tests of carbohydrate metabolism in psychiatric patients and the question of ""oneirophrenia""."
"['hepatomas', 'mice']","['Disease', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'Species']",Some observations on the volume of the nucleus of spontaneous hepatomas in mice.
"['Murphy_lymphosarcoma', 'rat']","['Disease', 'prep', 'pobj', 'Species']",Blood plasma sulfhydryl levels during growth and regression of the Murphy_lymphosarcoma of the rat.
"['gastric_sarcomas', 'mice']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'Species']",Histogenetic classification of induced gastric_sarcomas in mice.
"['pulmonary_tumors', 'guinea_pigs']","['Disease', 'prep', 'pobj', 'Species']",Induction of pulmonary_tumors in guinea_pigs by intravenous injection of methylcholanthrene and dibenzanthracene.
"['histoplasmosis', 'children']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'Species']",The diagnosis and incidence of histoplasmosis in children.
"['Manic_depressive_psychosis', 'children']","['Disease', 'prep', 'pobj', 'Species']",Manic_depressive_psychosis in children.
"['encephalomalacia', 'infants']","['Disease', 'prep', 'pobj', 'prep', 'pobj', 'Species']",Multilocular encephalomalacia with cavity formation in infants.
"['cavity', 'infants']","['Disease', 'pobj', 'prep', 'pobj', 'Species']",Multilocular encephalomalacia with cavity formation in infants.
"['psychotic', 'patients']","['Disease', 'pobj', 'Species']",Orbitofrontal lobotomy with reference to effects on 55 psychotic patients.
"['radiation_injury', 'rat']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'Species']",The effect of fat level of the diet on general nutrition. IX. The relationship of radiation_injury in the rat to the fat content of the diet.
"['corn_and_mexican_tortilla', 'rats']","['Disease', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Species']",Effect of untreated corn_and_mexican_tortilla upon the growth of rats on a niacin-tryptophan deficient diet.
