"['Shigella_sonnei', 'phenol']","['Species', 'ROOT', 'agent', 'pcomp', 'dobj', 'amod', 'npadvmod', 'Chemical']","1. The somatic antigen of Phase II Shigella_sonnei can be isolated by extracting phenol-killed microorganisms with water. This substance inactivates all T phages to which this bacillus is susceptible. 2. The Phase II antigen is constituted from a protein and a phosphorylated lipocarbohydrate. The major portion of the protein component can be removed by digestion with pancreatin. The enzymatically degraded antigen thus obtained can be further dissociated into its protein and lipocarbohydrate components by treatment with 90 per cent phenol. Glucose, galactose, glucosamine, and an aldoheptose have been identified as the monosaccharide constituents of the lipocarbohydrate."
"['duck', 'sodium_pyruvate']","['Species', 'pobj', 'prep', 'pobj', 'acl', 'advcl', 'conj', 'Chemical']","The extracellular survival and development in vitro of the erythrocytic stages of Plasmodium lophurae were favored by the addition to the culture medium of l_malic_acid and concentrates rich in coenzyme A. In a concentrated extract of duck erythrocytes supplemented with these two substances in addition to adenosinetriphosphate, sodium_pyruvate, and certain other materials of like nature, only 5 to 10 per cent of the extracellular parasites had become abnormal after 3 days of cultivation."
"['guinea_pigs', 'methylcholanthrene']","['Species', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']",Induction of pulmonary_tumors in guinea_pigs by intravenous injection of methylcholanthrene and dibenzanthracene.
"['guinea_pigs', 'dibenzanthracene']","['Species', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'Chemical']",Induction of pulmonary_tumors in guinea_pigs by intravenous injection of methylcholanthrene and dibenzanthracene.
"['rat', 'carotene']","['Species', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']",Fate of lycopene in the rat and its effects on the utilization of carotene and vitamin_A.
"['sheep', 'vitamin_B12']","['Species', 'prep', 'ROOT', 'relcl', 'dobj', 'Chemical']",Response of cobalt-deficient sheep to intravenously administered vitamin_B12.
"['rats', 'niacin']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'nmod', 'amod', 'Chemical']",Effect of untreated corn_and_mexican_tortilla upon the growth of rats on a niacin-tryptophan deficient diet.
"['rats', 'tryptophan']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'nmod', 'Chemical']",Effect of untreated corn_and_mexican_tortilla upon the growth of rats on a niacin-tryptophan deficient diet.
"['Mycobacterium_tuberculosis', 'isonicotinic_acid_hydrazide']","['Species', 'prep', 'ROOT', 'acl', 'Chemical']",[Acquired resistance of Mycobacterium_tuberculosis to isonicotinic_acid_hydrazide].
"['infant', 'Br']","['Species', 'pobj', 'prep', 'ROOT', 'appos', 'Chemical']",[Experiences with corella infant food on healthy newborn in the Gynecological Hospital of the University in Freiburg i. Br].
"['Mycobacterium_tuberculosis', 'streptomycin']","['Species', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'ROOT', 'relcl', 'Chemical']",[Studies on methods of rapid determination of Mycobacterium_tuberculosis sensitivity to streptomycin].
"['women', 'paraoxypropiophenone']","['Species', 'acl', 'prep', 'pobj', 'Chemical']",[Phosphatemia and phosphatase in women treated with paraoxypropiophenone].
"['rabbit', 'iodine']","['Species', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']",[Determination of the fright hyperthyroidism of the wild rabbit by radioactive iodine].
"['man', 'streptomycin']","['Species', 'prep', 'ROOT', 'advcl', 'agent', 'pobj', 'Chemical']",B-VITAMIN excretion in man as influenced by streptomycin.
"['women', 'estrogens']","['Species', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']",Responses of the vaginal epithelium of postmenopausal women to single doses of estrogens.
"['guinea_pigs', 'stilbestrol']","['Species', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'nsubj', 'ROOT', 'prep', 'pobj', 'Chemical']",Splenomegaly with excess numbers of Kurloff cells in guinea_pigs treated with stilbestrol.
"['rats', 'lactose']","['Species', 'prep', 'nsubj', 'ROOT', 'dobj', 'amod', 'Chemical']",Dermatosis in weanling rats fed lactose diets. I. The influence of relative humidity and diet.
"['rats', 'L__and_DL_lysine']","['Species', 'prep', 'nsubj', 'ROOT', 'prep', 'pobj', 'Chemical']","Nitrogen balance of adult rats fed diets low in L__and_DL_lysine, or devoid of arginine."
"['rats', 'arginine']","['Species', 'prep', 'nsubj', 'ROOT', 'conj', 'prep', 'pobj', 'Chemical']","Nitrogen balance of adult rats fed diets low in L__and_DL_lysine, or devoid of arginine."
"['sheep', 'vitamin_B12']","['Species', 'prep', 'pobj', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']","Synthesis of certain B_vitamins in the cobalt deficient sheep, with special reference to vitamin_B12."
"['rats', 'ascorbic_acid']","['Species', 'prep', 'pobj', 'compound', 'Chemical']",[Evaluation of the corticotropic action of a urine extract from adrenalectomized rats with the ascorbic_acid test].
"['patient', 'chloramphenicol']","['Species', 'prep', 'npadvmod', 'ROOT', 'prep', 'pobj', 'Chemical']","[Diagnosis, immunity, and condition of a patient in typhoid_fever; report of 103 cases with majority treated with chloramphenicol]."
"['rats', 'cortisone_acetate']","['Species', 'prep', 'pobj', 'prep', 'nsubj', 'ROOT', 'Chemical']",Protective effect of liver residue on immature rats fed cortisone_acetate.
"['patients', 'nitrogen']","['Species', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'compound', 'Chemical']",Response of patients with rheumatoid_arthritis to the administration of nitrogen mustard.
"['guinea_pig', 'cortisone']","['Species', 'acl', 'prep', 'pobj', 'Chemical']","[Differential findings on the evolution of experimental tuberculosis in the guinea_pig treated with cortisone, streptomycin and cortisone-streptomycin combined]."
"['guinea_pig', 'streptomycin']","['Species', 'acl', 'prep', 'pobj', 'conj', 'Chemical']","[Differential findings on the evolution of experimental tuberculosis in the guinea_pig treated with cortisone, streptomycin and cortisone-streptomycin combined]."
"['guinea_pig', 'cortisone']","['Species', 'acl', 'prep', 'pobj', 'conj', 'conj', 'amod', 'Chemical']","[Differential findings on the evolution of experimental tuberculosis in the guinea_pig treated with cortisone, streptomycin and cortisone-streptomycin combined]."
"['guinea_pig', 'streptomycin']","['Species', 'acl', 'prep', 'pobj', 'conj', 'conj', 'Chemical']","[Differential findings on the evolution of experimental tuberculosis in the guinea_pig treated with cortisone, streptomycin and cortisone-streptomycin combined]."
"['tobacco', 'alcohol']","['Species', 'conj', 'Chemical']",[Effect of tobacco and alcohol on retinal sensitivity determined with Goldmann's artificial scotoma; effects of their association with anoxia].
"['human', 'thiamine']","['Species', 'pobj', 'prep', 'ROOT', 'prep', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pcomp', 'dobj', 'Chemical']",Thiamine in human milk; as to the question of priority of identifying bound thiamine in it.
"['human', 'acetic_acid']","['Species', 'conj', 'pobj', 'prep', 'conj', 'pobj', 'amod', 'advmod', 'Chemical']","Biochemical studies on carbohydrates. CLVI. On the sugar components of the hexosamine-containing carbohydrates from gastric_cancers, normal human gastric mucosa and human liver and of the glacial acetic_acid-soluble proteins from those tissues as well as a metastasis in liver of gastric_cancer."
"['human', 'acetic_acid']","['Species', 'conj', 'conj', 'pobj', 'prep', 'conj', 'pobj', 'amod', 'advmod', 'Chemical']","Biochemical studies on carbohydrates. CLVI. On the sugar components of the hexosamine-containing carbohydrates from gastric_cancers, normal human gastric mucosa and human liver and of the glacial acetic_acid-soluble proteins from those tissues as well as a metastasis in liver of gastric_cancer."
